OEM_KODU,MARKA,KATEGORI,PARCA_ADI,UYUMLU_MODELLER,MUADIL_REFERANSLAR,DEGISIM_ARALIGI,TEKNIK_OZELLIKLER
229678,"Kohler","Filtreler","Kohler Klasik Seri Ağır Hizmet Yağ Filtresi (Yanmar Tabanlı)","Kohler 8EOZ, 9EOZ, 10EOZ, 11EOZ, 13EOZ, 14EOZ","Mann W 68/1, Yanmar 129150-35153","100-150 Saat / Sezon Başı","M20x1.5 Dişli Orijinal Kohler Marin Yağ Filtresi"
229711,"Kohler Generator","İmpeller & Soğutma","Kohler 11EFOZD / 13EFOZD / 18EFOZD / 20EFOZD İmpeller Kiti","Kohler 11kW - 28kW Dizel Marin Jeneratörler","Johnson 09-1027B-1, Jabsco 1210-0001, Sierra 18-3071, CEF 500107","200 Saat / Sezon Başı","12 Kanatlı Neopren, Spline Mil, 57mm Çap, 31.5mm Genişlik"
229826,"Kohler","İmpeller & Soğutma","Kohler 13-28kW Ham Su Pompası İmpeller Kiti (Spline)","Kohler 13EOZ, 14EFOZD, 16EFOZD, 20EFOZD, 24EFOZD, 28EFOZD","Johnson 09-1027B-1, Jabsco 1210-0001, Sierra 18-3081, CEF 500107","150-200 Saat veya Sezon Başı","12 Bıçaklı Neopren, Spline Mil Yuvası, Çap: 57mm, Genişlik: 31.5mm, O-Ring Dahil"
246844,"Kohler Generator","Yakıt Filtrasyonu","Kohler Dizel Jeneratör Yakıt Filtresi Elemanı","Kohler 4EFOZ..28EFOZD Serisi Tüm Dizel Jeneratörler","Mann WK 712/2, Baldwin BF940, Donaldson P550012, Fleetguard FF5135","150-200 Saat / Sezon Başı","Spin-on Metal Dizel Yakıt Elemanı"
250109,"Kohler Generator","Yağlama & Filtre","Kohler 4EFOZ - 20EFOZD Marin Jeneratör Yağ Filtresi","Kohler 5E, 7.3E, 4EFOZ, 6.5EFOZ, 9EFOZD, 11EFOZD, 13EFOZD, 18EFOZD","Mann W 68/1, Baldwin B1434, Donaldson P502015, Fleetguard LF3644","100-150 Saat veya Sezonluk","Spin-on Kompakt Yağ Filtresi (M20x1.5 Diş)"
260085,"Kohler","Tutya & Anotlar","Kohler Isı Eşanjörü 3/8"" NPT Çinko Tutya Kalemi","Kohler 18-32kW Büyük Boy Jeneratörler","Tecnoseal 01002, Martyr CM260085Z","100 Saat / Sezonluk","3/8"" NPT Pirinç Tapalı Ağır Hizmet Tutya"
359978,"Kohler","İmpeller & Soğutma","Kohler 4-11kW Ham Deniz Suyu İmpeller Kiti (O-Ringli)","Kohler 4EFOD, 6EFOD, 8EOZ, 9EFOZD, 11EFOZD (Johnson Pompa)","Johnson 09-810B-1, Jabsco 18653-0001, Sierra 18-3077, CEF 500101","150-200 Saat veya Sezon Başı","10 Bıçaklı Neopren, Şaft Çapı: 12.7mm, Dış Çap: 51mm, Genişlik: 22mm"
466634,"Volvo Penta","Filtreler","Volvo Penta TAMD Serisi By-Pass İnce Yağ Filtresi Kartuşu","Volvo Penta TAMD60, TAMD70, TAMD71, TAMD74, TAMD122 Serisi","Mann W 940, Baldwin B2, Donaldson P550758","200 Saat / Ana Yağ Filtresi ile Beraber","İnce By-Pass Yağ Filtrasyonu, M24 Diş"
471034,"Volvo Penta","Filtreler","Volvo Penta TAMD61 / 62 / 63 / 71 / 72 / 74 / 75 / 122 Ana Yağ Filtresi","Volvo Penta TAMD61, TAMD62, TAMD63, TAMD71, TAMD72, TAMD73, TAMD74, TAMD75, TAMD122","Mann W 11 102/4, Baldwin B76, Donaldson P550425, Fleetguard LF670","200 Saat / Sezon Başı","Ağır Hizmet Vidalı Spin-on Yağ Filtresi (1 1/8-16 Diş)"
828290,"Volvo Penta","Tutya & Anotlar","Volvo Penta 120S Saildrive Katlanır Pervane Tutya Bölünmüş Halka (Çinko)","Volvo Penta 120S-C, 120S-D, 120S-E Yelkenli Kuyruk Sistemleri","Tecnoseal 00708, Martyr CM828290Z","Her Sezon Başı Değişim","İki Parçalı Bölünmüş Çinko Halka, 2 Adet Paslanmaz Cıvata Dahil"
